EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
866668459,F,6,1,2504,28,2,900L,Below Standard,2432,54,At/Near Standard,2620,69,At/Near Standard,2432,69,At/Near Standard,2557,71,1,2545,22,2,935Q,At/Near Standard,2535,30,At/Near Standard,2528,44,At/Near Standard,2592,44
184723374,F,6,1,2646,27,4,1205L,Above Standard,2627,43,Above Standard,2623,51,Above Standard,2770,118,Above Standard,2663,51,1,2616,18,4,1115Q,Above Standard,2599,26,Above Standard,2613,35,Above Standard,2645,33
731399465,F,6,1,2496,24,2,880L,At/Near Standard,2473,42,At/Near Standard,2518,44,At/Near Standard,2493,60,At/Near Standard,2503,55,1,2453,25,1,700Q,Below Standard,2437,34,Below Standard,2480,47,Below Standard,2462,58
673467436,M,6,1,2393,28,1,660L,Below Standard,2454,43,Below Standard,2218,153,At/Near Standard,2439,71,Below Standard,2374,61,1,2353,36,1,440Q,Below Standard,2385,40,Below Standard,2253,133,Below Standard,2249,148
474454815,M,6,1,2597,29,3,1100L,Above Standard,2616,56,Above Standard,2645,67,At/Near Standard,2580,70,At/Near Standard,2560,51,1,2500,24,2,820Q,Below Standard,2467,35,At/Near Standard,2462,64,At/Near Standard,2628,69
725354976,F,6,1,2566,28,3,1030L,Above Standard,2617,41,At/Near Standard,2532,52,At/Near Standard,2483,104,At/Near Standard,2535,62,1,2527,22,2,890Q,Below Standard,2500,32,At/Near Standard,2553,38,At/Near Standard,2557,48
834732421,M,6,1,2516,24,2,925L,At/Near Standard,2525,43,Below Standard,2427,46,At/Near Standard,2582,64,Above Standard,2655,58,1,2616,24,4,1115Q,Above Standard,2649,40,At/Near Standard,2607,44,At/Near Standard,2576,46
411368824,M,6,1,2618,28,4,1145L,Above Standard,2676,60,At/Near Standard,2543,40,At/Near Standard,2654,87,Above Standard,2689,73,1,2551,22,2,950Q,At/Near Standard,2581,32,At/Near Standard,2555,40,At/Near Standard,2322,196
759446756,F,6,1,2526,27,2,945L,At/Near Standard,2461,49,At/Near Standard,2547,61,Above Standard,2639,72,At/Near Standard,2515,64,1,2516,24,2,860Q,At/Near Standard,2532,32,At/Near Standard,2532,46,Below Standard,2426,75
457767474,F,6,1,2527,26,2,945L,At/Near Standard,2528,44,At/Near Standard,2526,48,At/Near Standard,2529,68,At/Near Standard,2524,53,1,2542,21,2,925Q,At/Near Standard,2558,32,Below Standard,2458,50,Above Standard,2647,59
