EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
784626656,M,5,1,2485,25,2,860L,At/Near Standard,2552,45,At/Near Standard,2468,55,At/Near Standard,2471,81,At/Near Standard,2428,49,1,2488,20,2,740Q,At/Near Standard,2502,28,At/Near Standard,2495,38,Below Standard,2443,51
785541323,F,5,1,2480,24,2,845L,At/Near Standard,2474,38,Below Standard,2408,44,At/Near Standard,2474,75,Above Standard,2607,64,1,2559,18,3,940Q,At/Near Standard,2544,26,At/Near Standard,2568,30,At/Near Standard,2584,39
788482658,F,5,1,2656,29,4,1240L,Above Standard,2754,101,Above Standard,2731,64,At/Near Standard,2592,66,Above Standard,2591,51,1,2533,20,3,865Q,At/Near Standard,2506,33,At/Near Standard,2565,29,At/Near Standard,2518,48
794838495,F,5,1,2438,25,1,755L,At/Near Standard,2434,46,At/Near Standard,2557,52,Below Standard,2341,71,Below Standard,2367,59,1,2476,21,2,705Q,Below Standard,2480,30,Below Standard,2416,48,At/Near Standard,2528,44
895369262,M,5,1,2574,28,3,1055L,At/Near Standard,2530,44,At/Near Standard,2550,66,Above Standard,2706,104,Above Standard,2594,50,1,2557,17,3,935Q,Above Standard,2581,23,At/Near Standard,2558,31,At/Near Standard,2427,86
975434456,M,5,1,2563,26,3,1030L,Above Standard,2615,56,At/Near Standard,2491,50,At/Near Standard,2532,67,Above Standard,2596,48,1,2561,19,3,945Q,At/Near Standard,2570,29,At/Near Standard,2534,40,At/Near Standard,2572,38
999341531,M,5,1,2494,24,2,880L,At/Near Standard,2531,43,At/Near Standard,2456,47,Below Standard,2315,91,At/Near Standard,2564,61,1,2461,24,2,660Q,At/Near Standard,2478,35,Below Standard,2408,58,At/Near Standard,2480,49
299365128,M,5,1,2592,27,4,1095L,Above Standard,2676,66,At/Near Standard,2471,49,Above Standard,2625,74,Above Standard,2627,54,1,2607,18,4,1075Q,Above Standard,2587,25,Above Standard,2628,33,Above Standard,2623,39
254259522,M,5,1,2518,26,3,930L,At/Near Standard,2584,56,At/Near Standard,2498,50,At/Near Standard,2545,77,At/Near Standard,2478,48,1,2547,19,3,905Q,At/Near Standard,2519,30,At/Near Standard,2535,38,Above Standard,2601,38
727375869,M,5,1,2516,26,3,925L,At/Near Standard,2472,48,At/Near Standard,2549,63,At/Near Standard,2586,71,At/Near Standard,2510,48,1,2541,19,3,890Q,At/Near Standard,2559,27,At/Near Standard,2556,34,At/Near Standard,2481,41
